date,acquirer,target,value,sector,subsector,importance,source,url,title,status
2026-06-09,GSK,Nuvalent,$10.6B,Healthcare,biotech,5,Stock Titan,https://news.google.com/rss/articles/CBMirgFBVV95cUxNWncydlhFYnY1dmJnbzBCakF6SzNQV0lRWTMyX3VLOXFZZUFXVUMxVER0ZG9yT0FvSVRRSE5wN0V6NHhraTlaVXFidXppQlpmQVQ3MTZKdFZ4N2ZKbnBkR1FVSjdsZTNKMFFEVDZzMzRxbFRTd1R0MlJWWGhvVWhfTWNKTUllOE1FeFFfWW5CLWNHNWwtZC1fZk44dkhnQ0ZXTTFiMF9rTE1GcUc1Wmc?oc=5,GSK plc (NYSE: GSK) to seek tender offer for Nuvalent (NUVL),closed
2026-06-09,UniCredit,Commerzbank,,Financials,banks,5,Yahoo Finance,https://news.google.com/rss/articles/CBMirwFBVV95cUxNaU5IRGVUb1VSY1NfWlhSZnE1MU1CN05BS3NwVVpiZDZSeFFVMFJBWWhhSkNUellzQUZKbzFTTy02azBuT0g3ZnhlSjhFOUdJUFZmRFBZVGhIdjBNWUtqTXZnVmM4M0ZZTXRrX2xRaWxJdDA0NW1yc1NLNFdlRDMzOUo0WjR3RktfbEhmUHlHVDh6U2loMUtxRjl2cF9vczJxUmtodFRJT1RhM2huM28w?oc=5,UniCredit receives further Commerzbank shares as takeover bid advances,pending
2026-06-08,Ingredion,Tate & Lyle,£2.7bn,Consumer Staples,food & beverage,5,The Guardian,https://news.google.com/rss/articles/CBMinwFBVV95cUxORzRmUEtmQm1SVjd4UEU5V0lxMGs0aFNVU3dTZXVvQnoxM3J2TnpkZTFTT2xid3psZDNuejNNSV90MzE4Q19wUUp0T0dzUmMwdkFEZTlZdXgxbFJzbGNteERrSEtDbzFPcmpIdDU3aTlaMVBRSVhpMTduUzd6TVhjakV5MVVBVV9PeUxrcE43aGNqOHFlRzJMLXZ1OVhsZXM?oc=5,Tate & Lyle agrees £2.7bn takeover by US rival in new blow to London market,closed
2026-06-08,,MGM Resorts,$18 billion,Consumer Discretionary,gaming & hospitality,5,CDC Gaming,https://news.google.com/rss/articles/CBMirwFBVV95cUxQOHI4cUFVdERteUc2akJWdG5zNmdKdFRLc2R4ekFDWEJfdVRIdEd4TmZwdkV0eGpWSW12ZzF1TjVzdlVxU21GNEFXcTJaX1d0MElha3kyZEo0UUJqb0dUd1BkRkpUM3o1bEVqTEo2RTlFS0M2dk1ZcmJhMUdfV1NPLVZGSl91QXloc0lwVVNUYk81UXFRSTdhZjlKTjdMQ3EtRjN5bzVjeXZxU2Y5dkRj?oc=5,Rhode Island financier who chairs MGM Resorts board is facing an $18 billion takeover bid,pending
2026-06-08,Warner Bros.,Paramount,,Communications,media,5,MSN,https://news.google.com/rss/articles/CBMixAFBVV95cUxObVpOYW1URkhrNjZPZTV3SXMxWTlaaEw1TVRVSm1KWjFXOE56X0ZxTUpyQ1pUMnNNVG9ZU1Rwem9IVWtXaHItOUxGWVRjRW4wcXNrNlpaMzI0dkdtUHdiX3NkWjYtdkJGTmx6ZHpUci11d0k3eXdIRFI1Q1NGTnR2anN4T0ZQeFM5TEx1ZHdiQ01mNEkxeVZVQnFOUUh3OVczUzdUdUNsQU5PNk54akZCVS16eWR6WmFGRGxJTFhTWUM3a3Zt?oc=5,Bari Weiss and the CBS cloud hanging over the Paramount-Warner Bros. merger,pending
2026-06-08,Intesa Sanpaolo,Monte dei Paschi,€30.6 billion,Financials,banks,5,MSN,https://news.google.com/rss/articles/CBMiygFBVV95cUxNX19PWFYyMEY4R3BpUkhkZEpGSDhIN2ZTanN0ck9WZU5ZY2ZvUTdmcnFUNGlvODBRZDNaOUlaUzFHV3ZrT1diZzZubmwwRUtTbVJMcHF5UGhxWFRNSGZDSEg4SDd5SUVId0o4RVBDSk9fQnJWVDg0RHF4UE1aM0ZqQU10U3QtVnBQNU00bkhDVVNpdlRaVG8tOFFRZjF1SThtcmZ5eWMtTkJlMzlITjJUVGdjZThMR2I3Q3pSYktlWTZqelVBWE5xeUFn?oc=5,Intesa Sanpaolo tables €30.6 billion takeover bid for Monte dei Paschi,pending
2026-06-09,Hubbell,NSI Industries,$3.0B,Industrials,building products,4,The Manila Times,https://news.google.com/rss/articles/CBMizwFBVV95cUxOLUNJQzBsRHl4Y3VvYlQyYUs0TlFNUE0weEZhcElDcU1pRTBmaFRfenpwUDI1VHVjZ0tRRTFsR1N2bWRkZVV3VjV1NlZkeDZLSlB3eVpTQnl1T3FkTkpGeHp0elV2QjJDTjk5a2pKcmtrdkhBTkFFMzNVNnNnOUxuMEp4ZkxDblNSYmJUVW5oVDdXUDF5TmVqMzNYTERyT21uVnRxb0RuNV8xRmFOeWg2VGtlTWJCM0U2a3BKcjN2cE8xc2EycTR1bXI4ZG9PM1XSAdQBQVVfeXFMT3k4dXRONkJqV0lhY3Q4NGRSNm9MNUFwalE4UHVlUG9ReHdWY1VFQjdWSnlocC1DZEZsU3l2NzVmc2Z0MzlmX2FZNGE1R1BnRTVYaGExSVFBazQzalZIUU5TbTJFX3JmX1Fudm12VVZSUWFPaF9haVltX3BDd0RaeEhzdDZaaFJ4a1VKTVU0RzZ3Y1NlUmdPR3hYa0xhTmpEMXEzeHRhY1pTOFdHRlJaenowVlpiT1BhdTc0cm9DbWlpaUJ2U3ItbUZHSEE5ejV1S09FWEs?oc=5,Hubbell Incorporated Completes Acquisition of NSI Industries,closed
2026-06-09,Incyte,Vega Therapeutics,$2.0B,Healthcare,biotech,4,Genetic Engineering and Biotechnology News,https://news.google.com/rss/articles/CBMi9gFBVV95cUxPTVgtVHBSTG0zVjBNYjZwUXl0MDMxMUN5bGhScV9SUTg3YnZGSWo4aGloMEFPUGdhZHlfLW4yQ3BLUDFqaVJ0UHB4NnVXbDQ1MHh4dVNRT3hkRnZfQzVLRDNJUFhMei13LV9aU3R0M2tlMTNqcTNvOFFrSFJKbDhFRUxTekg5Y0hUQWRxQU1Dbk5wZ2k1V2Z5MGp0blh6Uy1uOFBxeUJpa2JPMnhHdDd1RmRkaHF6ejZYMVNPQjdiRHZlQ1NfU085WG1JMzJsdmhXYUF2QVpBNl9ybHVqaXdaYTdDRlozTDFiVERaeHVaU05HVlpsZHc?oc=5,"Incyte to Acquire Vega Therapeutics for Up-to-$2B, Growing Hematology Pipeline with Phase III VWD Candidate",closed
2026-06-09,Nuvei,Payoneer Global,$2.7B,Financials,fintech,4,marketscreener.com,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPYUtKSjB6QnZZUXdhS3dTVDkzdTZyN0xXcENGZVJGZWNBLXlFQ2sybVhaeENMTXhGdC1PdVFsaTExM3hOTzQ5aWw4WWVYeFNVVUJDX0NtY1RTYndkdWp1VGRkMm9sdnFocmRVUVg4a2ZWd2VOa3Q2Nk9OOHc4cHVvRnNMQkxjRVJqSFlOVl9PVkRzVnVZNW5iOXJtazUzbkZrcDVEWFZzeGE5Z1FVVGh6UEVBS3djWjd2NHNsMmduaTk?oc=5,Payoneer Global in Talks to Be Acquired by Nuvei for About $2.7 Billion,pending
2026-06-09,Novanta,Riverpoint Medical,$1.45B,Healthcare,medical devices,4,citybiz,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQamFGTEV3OGpTZlNDdlZJRkswVnJUQmFTaWxrVWFSOFpzYmlDTml4a2xERXNkN2JDY3NBeV9IU0xLXzYtZzBGRDBrQ29xWW5iMHVFT1o0bE1UcmtfckdTVW92NVJ3S1RMcks2RVBzeEtFUGxQWkpKWVIzcEJjMVdMTnhOYU5GNWZIeWxGVmVjZG1jSzdZdmpUQ0tNTVM0MklhbXpPc0RQc3ZwbVRWRE9NNWI3Y2NVWXNYc1E1VWk3X1dEY3V1S0U0Qw?oc=5,Novanta to Acquire Riverpoint Medical from Arlington Capital Partners in $1.45 Billion Deal,closed
